RTSW,web,plot,data,-,created,28-06-2024,15:02:42,,,,,,,,,,,,,,,,,,,,,,
More,information,is,available,from,SWPC,at,http://www.swpc.noaa.gov/products/real-time-solar-wind,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start:,02-01-2020 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End:,02-01-2020 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"0=ACE,","1=DSCOVR,",2=mixed,ACE+DSCOVR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution:,1,day,,,,,,,,,,,,,,,,,,,,,,,,,,,
med=50th,percentile,"(median),",min=1st,"percentile,",max=99th,percentile,,,,,,,,,,,,,,,,,,,,,,,
Phi,mean,is,the,average,"angle,",taking,into,account,the,wrapping,at,0/360,degrees,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More,data,is,available,from,the,NCEI,archive,at,https://www.ngdc.noaa.gov/dscovr,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
02-01-2020,00:00:00,0,3.21,1.34,5.65,0.97,-2.96,3.32,-1.58,-4.91,3.19,0.35,-3.3,2.8,305.56,4.25,355.86,6.41,-50.11,60.99,2.78,0.83,6.05,340.66,301.67,382.93,36386,16024,76056
03-01-2020,00:00:00,0,5.7,1.6,9.64,0.01,-6.78,4.49,-2.47,-8.51,5.08,-0.44,-6.13,6.41,274.33,3.47,352.15,-5.36,-62.95,77,3.78,0.9,9.07,358.44,322.47,412.2,65134,18686,170161
04-01-2020,00:00:00,0,4.72,1.7,9.16,0.27,-2.92,3.35,-4.46,-8.96,1.02,-0.91,-3.85,3.81,278.25,7.77,352.63,-8.72,-64.24,60.41,0.69,0.1,4.62,388.49,329.61,416.11,51176,11979,152506
05-01-2020,00:00:00,0,8.98,3.14,13.62,2.44,-5.06,7.48,-5.32,-10.31,10.89,2.63,-12.72,8.77,297.45,2.93,355.38,19.47,-71.43,67.84,2.52,0.18,16.43,383.05,317.21,545.99,86951,11293,320835
06-01-2020,00:00:00,0,3.79,2.12,5.26,1.15,-4.93,4.92,-0.96,-4.48,1.68,0.8,-3.14,3.96,304.16,0.9,359.29,11.68,-66.77,78.97,1.1,0.14,2.38,489.3,450.2,553.63,102570,44959,256890
07-01-2020,00:00:00,0,2.95,1.32,4.71,1.99,-4.02,3.29,-1,-3.6,1.3,-0.07,-2.63,2.58,314.87,1.12,357.76,-1.53,-65.62,70.54,2.7,0.79,5.81,434.83,381.05,466.96,62194,30348,118199
08-01-2020,00:00:00,0,4.01,2.1,6.29,1.76,-2.19,5.44,0.63,-5.17,3.55,-0.91,-5.73,2.94,4.32,4.41,354.53,-16.37,-85.13,51.14,2.09,0.1,5.8,388.28,361.02,443.23,62840,19184,152425
09-01-2020,00:00:00,0,6.05,3.2,9.83,1.7,-4.71,8.93,-3.48,-7.31,4.84,-1.58,-6.88,4.7,300.33,3.2,356.64,-15.21,-73.21,58.54,2.88,0.52,8.14,447.49,404.25,555.55,126229,47568,298273
10-01-2020,00:00:00,0,4,2.62,7.33,2.29,-3.01,3.92,-1.63,-6.58,2.67,0.89,-4.4,5.31,324.09,1.52,358.34,12.19,-65.52,77.54,1.15,0.15,2.85,502.35,447.56,563.14,137373,33194,281070
11-01-2020,00:00:00,0,4.37,2.72,5.86,1.74,-4.1,4.11,-1.56,-4.9,3.99,0.1,-3.28,5.36,315.95,1.22,358.28,1.6,-52.07,82.97,1.05,0.1,4.01,434.72,402.73,498.48,101952,45575,368054
12-01-2020,00:00:00,0,2.86,0.85,4.88,0.31,-4.05,3.13,-1.38,-3.58,1.76,0.28,-2.65,2.73,282.22,2.63,355.94,5.98,-48.77,73.97,1.43,0.41,2.81,409.79,359.73,444,84533,43583,160902
13-01-2020,00:00:00,0,3.69,0.76,4.34,-0.41,-3.62,3.54,-1.09,-3.94,3.54,0.22,-2.18,3.09,240.32,11.1,349.42,3.83,-59.08,72.57,0.82,0.2,3.03,352.92,325.05,390.39,33654,12908,109927
14-01-2020,00:00:00,0,4.55,3.3,5.46,-2.86,-5.2,-0.11,2.95,-1.15,4.82,-0.34,-3.02,2.79,137.73,91.19,203.77,-4.19,-35.52,44.7,0.5,0.1,5.51,317.23,288.41,360.29,29584,10630,99756
15-01-2020,00:00:00,0,4.32,1.08,6,-1.19,-3.99,4.07,2.87,-4.38,5.04,-0.69,-5.03,3.88,108.85,25.04,345.58,-9.67,-74.68,72.17,4.33,1.18,12.98,317.16,295.35,347.69,32124,14585,90765
16-01-2020,00:00:00,0,3.62,1.09,6.68,-1.97,-4.83,4.03,1.46,-3.51,5.87,0.13,-4.32,4.34,127.49,5.78,356.05,2.2,-62.29,52.13,3.72,2.32,21.02,357.39,305.68,394.35,58081,18554,158910
17-01-2020,00:00:00,0,3.01,1.21,5.69,-0.47,-2.81,1.7,1.55,-2.09,5.49,1.02,-3.98,4.11,113.27,26.53,330.14,18.36,-82.43,79.03,4.52,2.63,7.97,325.79,304.41,338.65,23592,12504,42597
18-01-2020,00:00:00,0,3.28,1.24,5.14,0.44,-2.75,4.04,1.72,-2.96,4.7,0.39,-3.25,3.19,77.45,5.93,352.12,7.9,-65.73,74.57,3.37,0.91,9.7,330.45,311.93,345.95,30414,16639,59083
19-01-2020,00:00:00,0,2.37,0.48,4.19,0.56,-2.82,2.6,-1.13,-3.45,3.32,-0.06,-3.22,2.86,295.82,2.56,358.47,-2.18,-71.03,50.64,2.24,1.03,6.41,329.41,288.6,360.63,34247,10491,78612
20-01-2020,00:00:00,0,1.88,0.46,3.59,0.26,-2.7,1.88,-1.35,-2.64,1,-0.32,-2.07,2.28,279.83,6.99,350.43,-9.82,-66.95,52.43,1.43,0.62,2.83,298.98,275.9,325.5,19113,10191,72726
21-01-2020,00:00:00,0,6.06,0.9,9.49,0.72,-2.84,5.73,-1.71,-7.25,4.2,0.2,-7.91,6.69,301.69,6.21,353.04,4.98,-77.36,84.3,6.17,0.91,11.53,330.26,279.1,371.49,36375,10301,142121
22-01-2020,00:00:00,0,6.38,2.69,8.34,2.1,-3.1,6.55,-3.3,-7.47,4.56,-2.24,-6.18,3.86,301.19,15.36,352.98,-21.47,-84.48,55.36,6.45,4.15,14.87,358.3,340.6,376.17,65563,22029,126171
23-01-2020,00:00:00,0,3.66,2.74,6.33,1.41,-2.09,4.41,-2.46,-5.86,0.72,-0.16,-4.22,2.03,298.61,1.77,358.21,-2.41,-54.27,33.07,3.79,1.44,12.98,342.22,321.48,365.09,40561,20461,95838
24-01-2020,00:00:00,0,3.49,2.29,4.52,-1.09,-4.47,2.71,-2.39,-3.97,2.42,-0.04,-2.35,1.6,234.19,117.35,336.8,-0.72,-44.35,25.36,3.97,1.38,9.52,323.51,294.85,334.73,30267,18601,68150
25-01-2020,00:00:00,0,4.42,1.95,6.29,-2.63,-5.2,0.96,-0.12,-5.08,4.68,0.49,-3.94,4.28,179.01,64.49,281.87,5.94,-65.32,66.45,3.84,1.04,9.52,302.8,285.25,327.23,32880,16298,94506
26-01-2020,00:00:00,0,3.23,0.59,4.72,-1.78,-3.89,2.74,0.75,-3.25,3.05,-0.09,-3.88,2.73,151.96,2.17,355.24,-1.78,-64.56,79.87,4.37,0.51,9.19,304.05,284.42,330.66,30729,14401,78912
27-01-2020,00:00:00,0,3.55,0.58,4.48,2.64,-2.99,3.55,-1.05,-3.45,3.17,0.77,-2.92,2.37,331,33.68,355.65,13.61,-47.19,66.35,2.49,0.99,5.97,326.74,304.02,353.32,40544,17352,97321
28-01-2020,00:00:00,0,3.7,1.06,8,0.72,-5.06,6.32,-1.68,-6.01,2.27,-1.52,-7.07,3.6,287.85,44.95,348.23,-25.03,-85.59,63.31,5.67,2.55,15.56,324.65,307.66,376.51,27776,14726,82737
29-01-2020,00:00:00,0,5.12,1.88,7.91,3.56,-4.14,5.66,-2.83,-5.77,3.07,-0.52,-6.93,5.06,311.92,5.09,356.25,-6.22,-65.48,53.63,4.21,2.41,15.47,409.15,360.2,476.47,122764,27932,277134
30-01-2020,00:00:00,0,5.24,2.84,7.65,1.03,-5.98,5.97,-2.35,-6.43,4.87,-2.75,-6.4,5.29,280.86,1.89,355.39,-32.19,-80.6,63.7,4.61,2.51,9.77,417.93,385.26,466.44,87860,31375,191270
31-01-2020,00:00:00,0,4.2,2.92,7.75,3.4,-4.78,5.37,-1.26,-5.51,3.02,0.05,-5.85,2.94,341.07,4.3,356.82,0.68,-58.51,36.44,2.3,0.97,5.88,480.49,433.93,538.72,159213,43581,302954
01-02-2020,00:00:00,0,3.95,1.45,7.06,0.45,-6.17,3.9,-1.16,-5.21,3.94,0,-4.74,3.74,294.95,1.08,359.1,0.05,-64.45,49.46,2.96,1.1,6.42,442.61,400.9,485.79,97917,29161,196536
02-02-2020,00:00:00,0,3.9,1.59,5.81,0.36,-5.37,4.6,-1.48,-4.15,1.64,-0.35,-4.38,2.86,272.86,2.53,355.66,-5.45,-73.68,53.61,3.45,1.84,6.44,418.52,373.26,472.97,87723,25977,180266
03-02-2020,00:00:00,0,3.47,1.57,4.83,1.27,-3.85,3.75,-1.32,-4.3,2.45,-0.19,-3.3,2.82,303.66,1.68,358.84,-3.46,-78.78,47.23,3.79,2.03,6.6,376.37,348.52,398.1,41587,18240,89516
04-02-2020,00:00:00,0,4.9,2.59,7.12,-2.05,-4.78,3.69,-2.48,-6.22,3.98,-2.17,-4.39,2.94,232.3,20.67,334.69,-25.06,-70.82,52.5,5.57,3.03,9.95,357.34,344.72,380.04,41755,14541,118365
05-02-2020,00:00:00,0,4.33,2.02,6.53,2.85,-1.38,4.32,-1.6,-6.39,2.97,-0.3,-5.45,3.89,330.97,1.37,359.17,-3.74,-79.93,53.65,3.82,2.02,6.63,362.66,341.7,385.8,93747,38953,163661
06-02-2020,00:00:00,0,7.64,3.93,10.68,3.82,-5.43,7.59,-3.65,-9.17,5.49,0.68,-9.68,7.92,316.34,4.58,356.81,5.79,-79.75,76.37,4.66,2.26,18.4,462.54,353.65,602.38,157001,38842,420010
07-02-2020,00:00:00,0,3.39,2.05,8.51,1.6,-2.7,4.82,-1.3,-7.32,3.38,-1.02,-5.67,3.33,317.64,1.33,356.91,-17.72,-83.68,62.85,1.94,0.97,5.03,588.79,524.68,659.88,159202,64699,437616
08-02-2020,00:00:00,0,3.08,2.14,4.18,2.14,-2.49,3.48,-1.51,-3.62,1.99,-0.38,-3.2,2.09,321.68,0.87,358.78,-7.39,-58.83,40.38,1.95,0.77,3.31,491.18,437.78,547.88,99348,48957,188560
09-02-2020,00:00:00,0,3.26,1.96,5.23,1.53,-3.01,4.57,-1.52,-4.52,2.71,-0.49,-3.38,3.15,311.41,1.85,357.45,-9.63,-80.48,58.03,3.58,2.12,6.34,427.44,402.14,448.47,66436,26869,108553
10-02-2020,00:00:00,0,3.42,1.86,5.36,0,-4.65,3.26,-0.84,-4.56,2.83,-0.14,-2.92,2.93,259.39,7.63,356.34,-2.35,-68.77,39.59,5.05,2.41,15.25,390.91,363.14,431.98,45657,16231,110399
11-02-2020,00:00:00,0,4.19,1.07,5.98,-2.36,-4.7,0.53,2.34,-3.83,5.45,0.58,-5.01,3.25,147.63,81.31,286.23,7.83,-74.04,47.13,4.6,2.78,13.14,404.13,349.52,441.61,47452,19233,130057
12-02-2020,00:00:00,0,3.62,1.94,5.26,-2.72,-4.39,3.37,-0.24,-4.67,3.55,0.05,-3.65,3.86,192.82,6.9,354.46,0.83,-54.49,50.14,3.91,1.61,9.3,386.23,347.98,414.27,71083,23866,128641
13-02-2020,00:00:00,0,2.63,1.38,4.09,-1.85,-3.78,2.38,1.07,-1.49,3.24,0.14,-2.64,1.9,134.18,4.29,346.39,3.13,-59.64,40.86,3.43,1.61,5.66,347.81,324.05,370.78,28396,14089,74667
14-02-2020,00:00:00,0,3.03,0.84,4.54,-2.66,-4.44,1.66,-0.08,-2.08,1.52,0.63,-2.92,1.9,186.65,50.25,335.64,12.89,-76.44,74.82,6.19,3.56,8.34,336.45,320.44,354.37,19682,11590,44148
15-02-2020,00:00:00,0,3.77,0.92,6.07,2.66,-4.75,4.43,-1.41,-4.7,2.12,0.15,-4.01,3.96,320.23,6.77,355.88,2.4,-57.65,59.37,5.48,2.5,9.65,345.27,314.36,384.08,37912,19943,87593
16-02-2020,00:00:00,0,3.3,1.29,4.85,1.21,-3.05,3.43,-1.38,-3.68,2.4,-0.33,-3.09,4.12,308.13,0.59,359.09,-6.73,-72.64,67.89,3.71,1.97,5.26,337.89,323.93,366.31,37295,18922,68480
17-02-2020,00:00:00,0,3.63,0.93,6.7,1.21,-3.06,3.57,-1.58,-4.87,3.24,-1.52,-6.59,2.67,303.47,9.81,348.93,-24.54,-86.11,53.43,4.21,2.12,7.81,334.92,319.13,370.69,34753,21800,64600
18-02-2020,00:00:00,0,7.71,5.08,12.53,0.49,-4.24,7.26,-4.61,-11.08,3.35,-5.31,-10.53,10.04,274.94,17.97,339.48,-39.56,-88.29,71.89,7.47,2.49,15.91,374.56,355.59,408.46,46275,14414,111349
19-02-2020,00:00:00,0,4.81,3.47,10.39,2.39,-3.55,5.06,-3.05,-9.54,6.02,-0.61,-9.01,7.44,306.76,7.94,353.1,-7.38,-75.52,75.26,2.39,1.02,12.74,447.55,364.53,490.4,89670,38269,280290
20-02-2020,00:00:00,0,4.05,1.72,8.29,0.96,-7.46,4.44,-2.38,-4.43,2.52,-1.37,-6.84,3.23,285.35,4.11,355.07,-20.44,-67.79,43.84,3.38,1.35,11.32,409.7,366.89,444.71,65097,28088,130662
21-02-2020,00:00:00,0,5.61,2.28,7.41,2.01,-4.78,6.63,-2.4,-5.89,2.26,-0.78,-6,5.57,299.93,4.26,356.58,-9.71,-76.48,72.46,3.56,1.82,7.48,476.48,387.1,510.4,123928,32159,234392
22-02-2020,00:00:00,0,3.39,1.74,4.62,2.19,-3.33,3.6,-1.64,-3.91,2.17,-0.51,-3.21,2.42,319.65,1.66,358.7,-9.24,-64,44.4,2.07,1.21,4.41,477.79,446.45,522.6,98349,44856,178584
23-02-2020,00:00:00,0,3.85,3,5.17,2.42,-3.28,3.99,-1.88,-4.64,0.99,-1.02,-4.24,2.44,313.37,0.83,358.45,-15.15,-65.57,36.78,2.63,1.24,5.91,430.36,408.5,457.55,58732,24954,118266
24-02-2020,00:00:00,0,3.83,2.92,4.42,3.09,-1.38,3.93,-1.12,-4.14,1.41,0.27,-2.77,3.54,336.51,0.97,359.12,4.06,-53.28,62.65,2.28,1.12,5.62,401.83,379.93,434.23,84296,34780,140424
25-02-2020,00:00:00,0,3.25,2.67,4.34,2.76,0.51,4.09,-1.43,-3.17,0.6,-0.43,-1.96,1.04,333.48,0.66,358.72,-7.22,-37.63,15.33,1.71,1.08,3.46,349.32,332.93,405.56,51209,18553,127251
26-02-2020,00:00:00,0,4.13,1.88,6.69,1.61,-3.29,5.01,0,-4.43,4.72,0.73,-4.06,4.51,12.65,1.71,359.05,10.02,-68.78,60.09,5.24,3.01,8.43,344.57,331.95,360.36,39331,24677,80612
27-02-2020,00:00:00,0,2.86,1,4.34,0.56,-3.59,2.76,-1.48,-3.4,2.1,-0.56,-3.23,2.67,290.07,3.96,356.83,-13.34,-73.46,61.16,3.33,1.96,4.84,356.58,339.11,376.56,47062,21718,93654
28-02-2020,00:00:00,0,5.2,1.73,7.97,0.88,-5.26,5.46,0.8,-4.41,6.51,0.1,-4.68,6.39,28.75,6.06,357.23,1.01,-63.06,69.42,5.64,2.3,13.98,350.57,325.87,464.05,40712,15451,246761
29-02-2020,00:00:00,0,5.37,2.25,8.82,3.01,-5.39,5.83,-3.2,-7.77,0.78,-1.51,-6.14,4.78,305.78,8.41,353.65,-17.55,-55.7,53.63,4.19,1.22,6.98,463.88,394.57,562.39,168835,73994,298653
01-03-2020,00:00:00,0,3.4,0.87,5.17,2.06,-3.51,4.52,-1.65,-4.87,2.04,-0.3,-3.55,2.38,314.29,4.07,358.46,-5.23,-66.49,40.17,2.37,1.23,4.69,446.2,391.74,521.13,94067,33877,262820
02-03-2020,00:00:00,2,4.44,1.93,7.64,2.71,-3.92,5.84,-1.08,-6.27,3.19,0.95,-4.4,5.08,347.1,3.07,358.02,16.3,-61.88,70.61,5.28,1.41,11.36,429.15,395.26,471.06,98882,42895,174777
03-03-2020,00:00:00,1,3.66,1.82,5.5,1.18,-3,4.45,-1.72,-4.99,2.24,0.57,-3.66,3.77,309.14,2.72,356.83,8.63,-76.9,71.75,6.47,4,8.86,420.8,403.1,446.5,118673,78605,181146
04-03-2020,00:00:00,1,4.28,2.01,6.06,1.23,-1.89,3.43,-0.56,-3.97,5.87,-0.97,-5,2.97,6.91,9.82,352.4,-16.36,-74.31,34.91,5.56,3.29,14.43,385.4,370.1,408.8,31037,10450,116622
05-03-2020,00:00:00,1,5.82,4.32,6.93,1.87,-0.29,4.99,4.69,0.77,6.34,1.97,-0.69,4.36,65.55,9.56,93.58,20.42,-7.01,47.92,12.24,6.12,20.15,343.8,317.1,373.7,24197,11908,43224
06-03-2020,00:00:00,1,7.19,4.04,9.28,3.4,-6.73,7.16,-2.72,-8.59,4.81,3.33,-5.33,6.89,319.71,6.01,357.3,28.24,-41.7,71.4,8.71,3.1,22.02,333.4,310.5,388.4,42357,9477,110864
07-03-2020,00:00:00,1,4.65,2.82,6.9,0.29,-3.93,4.13,0.63,-2.98,4.79,2.58,-4.23,6.5,52.29,1.49,355.99,36.99,-83.84,84.16,6.4,3.89,9.39,362.2,332.3,392.3,46184,19301,110500
08-03-2020,00:00:00,1,4.15,1.53,5.5,2.21,-4.27,4.31,-1.9,-4.38,3.47,-1.04,-3.59,3.71,291.93,10.86,342.2,-14.32,-63.51,74.09,5.93,2.44,17.53,357.4,331.6,409.2,39631,11325,165905
09-03-2020,00:00:00,1,4.2,1.64,6.61,-1.28,-5.55,4.8,0.39,-4.42,5.36,-0.71,-2.95,3.06,163.41,1.88,355.96,-9.85,-53.39,44.36,11.8,5.81,16.94,343.3,327.1,370.9,35515,19455,69156
10-03-2020,00:00:00,1,2.71,0.88,4.23,0.71,-2.35,4.04,-1.64,-3.53,0.66,-0.34,-2.54,1.59,290.81,4.71,356.44,-7.6,-61.58,36.22,7.79,5.61,13.56,326.8,310.4,352.3,15888,7966,51406
11-03-2020,00:00:00,1,1.87,0.38,3.86,0.15,-2.03,3.67,-0.9,-2.79,1,-0.01,-2.03,1.49,281.43,43.79,358.2,-0.59,-44.36,61.65,9.74,5.13,13.4,309,295.8,322.2,12682,7064,25072
12-03-2020,00:00:00,1,5.4,1.62,6.81,2.54,-3.87,5.91,-2.16,-6.02,4.45,-0.65,-6.06,4.81,307.4,50.4,353.79,-8.03,-73.32,61.31,9.16,2.33,15.61,343.8,304.5,416.6,31361,13211,126257
13-03-2020,00:00:00,1,4.69,3.52,7.45,3.83,0.19,5.77,-2.14,-5.5,1.28,-0.24,-5.58,3.85,330.07,4.59,356.52,-2.87,-70.65,36.31,6.13,3.83,8.76,423,374.7,458.1,106045,59579,275725
14-03-2020,00:00:00,1,2.85,1.22,3.9,1.79,-2.56,3.66,-1.42,-3.18,1.34,-0.27,-2.16,1.65,310.73,4.51,358.04,-5.28,-66.92,37.73,3.52,2.23,4.13,388.7,350.1,418,54750,32278,100457
15-03-2020,00:00:00,1,3.58,1.65,6.07,2.23,-1.95,4.02,-1.61,-4.98,1.03,-0.17,-4.01,4.57,317.34,2.14,358.2,-2.6,-68.63,55.09,4.85,2.56,12.13,359.3,344,382.1,43687,30628,67434
16-03-2020,00:00:00,1,3.43,0.9,8.24,0.71,-5.83,5.08,-1.4,-6.67,1.89,-1.29,-4.21,3.32,287.34,4.72,355.27,-22.81,-77.46,45.67,10.73,6.11,21.68,344.3,319,366.4,35570,17448,75051
17-03-2020,00:00:00,1,3.97,0.61,8.27,2.89,-6.33,6.32,-0.97,-6.12,3.19,-0.05,-5.73,6.58,328.18,0.73,358.95,-0.85,-79.9,64.46,6.28,4.08,10.25,400.4,330.7,449.8,98739,17888,207695
18-03-2020,00:00:00,1,4.75,3.25,7.33,3.64,-3.98,6.99,-1.59,-4.93,3.09,0.37,-6.45,3.82,337.31,1,359.06,4.54,-75.35,46.54,5.58,4.08,10.29,401.2,372.5,426.9,79639,46855,120684
19-03-2020,00:00:00,1,4.58,2.63,6.88,-1.78,-4.48,5.65,-2.43,-5.45,1.6,-0.79,-6.16,3.52,251.18,22.88,354.36,-12.19,-75.97,42.51,7.63,5.95,10.25,488.2,419.5,506,188001,68528,319380
20-03-2020,00:00:00,1,4.06,1.94,5.78,2.23,-3.65,5.3,-1.59,-4.29,2.7,-0.83,-4.09,1.28,309.68,0.54,359.27,-12.67,-58.03,18.84,5.85,3.34,9.54,420.5,396,487.8,97174,52572,193267
21-03-2020,00:00:00,1,3.69,1.12,6.49,2.74,-3.62,5.88,-1.2,-3.85,2.69,-0.21,-4.02,4.62,327.01,1.25,356.93,-3.54,-70.05,54.16,9.69,4.88,13.7,475.3,396,517.4,246281,86140,345949
22-03-2020,00:00:00,1,4.32,2.2,5.59,2.61,-4.17,5.09,-1.93,-4.94,1.87,-0.33,-3.9,2.31,316.15,0.88,358.89,-4.66,-70.56,30.56,7.47,5.72,9.65,448.9,426.4,491.2,127567,68491,205274
23-03-2020,00:00:00,1,4.13,1.99,5.58,-0.54,-4.93,4.95,-0.76,-4.13,2.39,-0.87,-4.1,2.91,257.7,1.95,358.44,-14.11,-78.3,50.59,7.44,5.83,10.92,471.3,438.9,512.7,167832,84762,262329
24-03-2020,00:00:00,1,3.83,1.69,5.32,3.21,-1.85,4.39,-1.42,-4.25,0.81,0.2,-3.16,2.15,335.22,0.99,358.98,3,-65.87,42.97,5.88,3.87,7.79,448.7,387.3,471.3,146312,63425,247048
25-03-2020,00:00:00,1,3.38,2.38,5.74,2.77,-0.48,5.24,-0.51,-3.14,3.15,0.23,-2.05,3.11,353.94,0.56,358.94,3.91,-42.97,44.7,4.71,3.24,7.79,394.1,375.2,423.3,64259,29996,178876
26-03-2020,00:00:00,1,4,1.67,5.84,2.57,-3.56,5.11,-1.27,-5.02,2.56,0.28,-4.06,3.44,319.09,1.01,357.72,4.86,-64.95,53.62,5.09,1.84,8.17,401.1,363.4,421.9,56667,28124,101837
27-03-2020,00:00:00,1,3.37,1.53,4.66,0.6,-3.53,3.81,-1.7,-3.97,1.03,-0.23,-3.6,3.94,279.09,12.49,352.88,-4.53,-69.32,73.81,5.41,3.46,7.63,404.5,383.1,419.6,65590,45795,136618
28-03-2020,00:00:00,1,3.89,1.4,5.06,2.85,-3.75,4.46,-0.96,-3.53,2.94,0.13,-3.63,3.26,340.96,0.88,358.29,2.15,-71.86,52.49,5.95,3.21,8.96,376.3,359,403.1,62713,39829,110506
29-03-2020,00:00:00,1,3.95,2.09,5.92,0.58,-4.1,4.61,-1.73,-4.23,1.95,-1.44,-4.54,3.82,285.06,2.41,359.17,-23.16,-75.83,44.25,5.58,3.68,9.56,405.5,377.3,432.5,80392,44916,131765
30-03-2020,00:00:00,1,5.68,3.04,7.45,3.29,-3.55,6.15,-2.48,-6.24,5.23,-1.76,-6.28,3.89,326.83,4.15,355.96,-18.26,-80.91,69.48,6.92,4.25,10.35,403.8,352.1,516.5,83331,39073,313390
31-03-2020,00:00:00,1,5.04,2.05,7.49,2.36,-2.17,5.49,-2.77,-5.69,4.04,-0.31,-6.14,5.76,319.5,3.62,356.03,-4.18,-79.4,73.97,9.24,7.63,14.36,498.9,462.6,529.4,282883,220415,394295
01-04-2020,00:00:00,1,3.43,1.71,4.14,1.4,-3.5,3.41,-1.6,-3.58,3.22,-0.34,-3.42,2.81,313.19,2.63,356.18,-6.31,-78.18,50.94,6.97,4.29,8.29,455.7,411.5,500.2,172125,67710,293574
02-04-2020,00:00:00,1,3.7,2.12,6.04,2.47,-2.94,5.67,-1.17,-4.19,2.45,-0.77,-4.74,2.67,324.86,0.78,359.29,-12.66,-83.34,46.48,5.39,3.74,8.35,422.9,401.4,444.7,83962,60134,170484
03-04-2020,00:00:00,1,5.44,3.13,6.88,4.04,-4.9,6.04,-1.7,-5.24,6.13,-0.96,-5.72,2.88,334.39,1.56,358.53,-9.74,-76.28,43.43,5.55,2.54,10.15,424.3,385,448,100996,28571,289434
04-04-2020,00:00:00,1,3.81,2.41,5.66,2.65,-2.64,5.62,-0.42,-3.77,2.55,1.45,-2.98,4.37,353.54,0.38,359.29,23.79,-63.63,79.18,6.12,3.84,8.78,431.8,412.9,454.1,99054,60560,166386
05-04-2020,00:00:00,1,2.95,0.89,8.14,1.87,-1.06,6.45,0.74,-4.39,4.45,0.01,-2.4,5.22,19.91,0.29,359.56,0.14,-76.4,41.76,3.74,2.76,10.37,412.6,379.1,442.1,53408,30006,125712
06-04-2020,00:00:00,1,2.75,1.18,3.37,1.62,-2.56,3.04,-1.19,-2.69,1.89,-0.22,-2.54,2.37,306.23,2.15,357.23,-5,-62.33,56.33,3.22,0.69,4.52,356.2,319,383.8,30297,9793,50229
07-04-2020,00:00:00,1,3.21,1.73,6.42,2.71,-0.18,3.89,-0.71,-3.35,4.41,0.05,-5.43,5.05,346.1,0.63,359.39,1.1,-68.26,55.78,2.87,1.37,16.83,309.5,296.8,338,19626,6167,36849
08-04-2020,00:00:00,1,6.75,1.34,10.7,0.11,-6.93,6.54,-0.14,-8.93,8.64,-1.04,-8.78,6.28,81.35,5,357.79,-13.18,-80.99,62.28,14.09,8.37,23,409.7,326.8,497.6,159799,19729,329652
09-04-2020,00:00:00,1,3.52,1.95,5.2,2.67,-0.93,5.04,-0.91,-3.5,0.93,-1.07,-3.31,2.79,334.58,0.43,359.67,-18.86,-70.34,38.03,2.96,1.71,13.22,401.3,342.7,461.2,55061,24491,316612
10-04-2020,00:00:00,1,3.64,1.88,5.87,2.15,-2.54,4.48,-0.75,-4.49,4.51,-0.53,-4.33,3.38,345.84,1.58,358.86,-9.17,-76.65,73.31,3.62,1.75,6.38,361.2,333.4,402.1,36030,14816,82573
11-04-2020,00:00:00,1,4.56,1.92,7.59,2.93,-4.22,5.28,-1.86,-4.55,3.08,-0.8,-6.88,3.81,325.94,5.69,356.14,-12.8,-79.88,58.88,6.58,2.52,11.96,360.3,335,441,34326,18416,113366
12-04-2020,00:00:00,1,4.73,1.83,7.25,1.99,-4.5,6.12,-1.68,-5.66,3.62,-0.74,-3.86,4.2,304.25,2.62,355.28,-10.67,-68.48,72.19,7.12,4.84,9.35,426.7,391,466.9,98846,48951,200838
13-04-2020,00:00:00,1,3.73,2.18,4.56,2.98,0.14,4.21,-1.37,-3.35,1.56,-0.83,-3.36,2.56,337.75,1.66,358.31,-12.91,-68.15,47.86,4.85,3.98,8.14,387.3,366.7,426.7,51606,30172,122648
14-04-2020,00:00:00,1,4.47,2.92,7.79,2.45,-3.86,4.87,-0.77,-6.92,3.51,0.09,-5.33,6.06,334.72,1.02,358.68,1.17,-82.55,65.66,6.35,4.2,15.35,401,377.6,426.5,58235,28108,95683
15-04-2020,00:00:00,1,3.84,1.39,5.27,2.51,-3.94,4.55,-1.65,-3.62,1.92,-0.63,-3.56,3.21,322.94,1.37,358.01,-11.43,-63.4,49.3,4.76,2.54,7.53,417.5,395.1,444.8,82093,57217,168771
